Bajana,Vivaldiego,350,0.3614969253540039,350,0.38161444664001465
Szukalice,Semaforowa,386,0.16208600997924805,386,0.17316770553588867
Pietrzykowice - Sportowa/Główna,Sudecka,402,0.17928385734558105,402,0.1025536060333252
Brzezia Łąka - skrzy. Sportowa,Mrozów - Wyzwolenia,761,0.1679399013519287,761,0.48642730712890625
Kętrzyńska,Eluarda,360,0.23015618324279785,360,0.5194380283355713
Orla,Hippiczna,19,0.2110447883605957,19,0.04526710510253906
Mirków - Kiełczowska (na wys. nr 14),ROD Storczyk,576,0.20615339279174805,576,0.44977426528930664
Kamień - skrzy. Rubinowa,Brzezinka Średzka - ul. Parkowa,625,0.17547607421875,625,0.48062801361083984
Kiełczów - cmentarz,Wrocław Nowy Dwór (P+R),162,0.19585323333740234,162,0.28607821464538574
Wejherowska (Hala Orbita),Gałczyńskiego,56,0.34715914726257324,56,0.36564135551452637
Gwiaździsta,Katedra,117,0.15044689178466797,117,0.12812399864196777
RĘDZIN,Os. Przyjaźni,151,0.14804315567016602,151,0.21476364135742188
Otyńska,PL. STASZICA,333,0.2657191753387451,333,0.42378664016723633
Smolec - Lipowa/pętla,Szczecińska,413,0.1614210605621338,413,0.3146231174468994
Małkowice - Główna,Wzgórze Partyzantów,429,0.17101025581359863,429,0.14272665977478027
PARK POŁUDNIOWY,Ramiszów Stacja,358,0.24206066131591797,358,0.491375207901001
Szukalice,Kochanowskiego,388,0.16574931144714355,388,0.2346951961517334
Smolec - Chłopska/Główna,Świętokrzyska,396,0.1815183162689209,396,0.23102283477783203
Skarżyńskiego,Skałka - skrzy. Małkowice,373,0.15967774391174316,373,0.4033784866333008
Brzezińska,Armii Krajowej (Bogedaina),413,0.22963714599609375,413,0.3222343921661377
Adamieckiego,Kamień - Diamentowa,400,0.23022103309631348,400,0.921377420425415
Kamień - skrzy. Kryształowa,KOSZAROWA (Szpital),582,0.5243949890136719,582,0.5133204460144043
Jaworowa,Kochanowskiego,41,0.3963618278503418,41,0.302274227142334
Pasikurowice - skrzy. Malinowa,Rzeplin - pętla,506,0.18695592880249023,506,0.48579907417297363
Krępicka - szkoła,Przystankowa,409,0.17128920555114746,409,0.2756156921386719
Żórawina - skrzy.,Hallera,9999998605.0,0.17597699165344238,9999998605.0,0.06685876846313477
Żernicka,Stabłowicka,27,0.17775917053222656,27,0.055803537368774414
Zagony,Bierutowska 65,306,0.21697378158569336,306,0.3762519359588623
Suwalska,Ługowa,44,0.21611404418945312,44,0.18978285789489746
Dworska,Zajezdnia GAJ,1485,0.23368263244628906,1485,0.5539484024047852
Jerzmanowska nr 9,Bałtycka,113,0.1688523292541504,113,0.23163676261901855
ROD Pod Dębem,Opatowicka nr 127,381,0.15707612037658691,381,0.4351930618286133
Jerzmanowo (Cmentarz I),Awicenny (Poczta Polska),331,0.19974255561828613,331,0.3844330310821533
Smolec - Chłopska/Cisowa,PILCZYCKA (Anima),394,0.1968691349029541,394,0.21403169631958008
Domaszczyn - Stawowa,ROD Bielany,415,0.1778707504272461,415,0.3471355438232422
Jeleniogórska,Port Popowice,73,0.245436429977417,73,0.12787818908691406
Wrocławski Park Przemysłowy,Górnicza,23,0.25066518783569336,23,0.0502932071685791
Domaszczyn - Wrocławska Skrzyżowanie,Malinowa,402,0.1753098964691162,402,0.22623777389526367
Średzka,Libelta,128,0.1951889991760254,128,0.2552804946899414
Łosice - plac zabaw,Miodowa,328,0.15006065368652344,328,0.3400108814239502
Wiaduktowa,Małopanewska,37,0.2897357940673828,37,0.2212522029876709
Lawendowa,8 Maja,1541,0.14767122268676758,1541,0.059905052185058594
Mokra,Wilczyce - Dworska,450,0.23449277877807617,450,0.450547456741333
Kwidzyńska,Swojczyce,13,0.26903581619262695,13,0.047553062438964844
OSOBOWICE,Długołęka - Broniewskiego (na wys. nr 11),443,0.22121238708496094,443,0.5387847423553467
Kamień - skrzy. Diamentowa,Oleśniczka - skrzy.,433,0.17475175857543945,433,0.38517308235168457
Sudecka,Byków - Ogrodowa,404,0.2473442554473877,404,0.562830924987793
Fabryczna,Krzeptów - Boisko,404,0.23805618286132812,404,0.5869917869567871
Skarżyńskiego,Kiełczowska,137,0.2543199062347412,137,0.25777435302734375
pl. Strzegomski (Muzeum Współczesne),Mrozów - Świetlica,374,0.2850468158721924,374,0.5491640567779541
Kępa Mieszczańska,KARŁOWICE,17,0.2867617607116699,17,0.04932379722595215
Os. Przyjaźni,Łozina - Cmentarz,382,0.1585526466369629,382,0.4662444591522217
Jerzmanowo (Cmentarz II),Ojca Beyzyma,206,0.2109215259552002,206,0.2911036014556885
Szymanów - skrzyż.,GALERIA DOMINIKAŃSKA,301,0.154951810836792,301,0.12628602981567383
Nowodworska,Skałka - skrzy. Małkowice,373,0.27289390563964844,373,0.5243780612945557
Główna,Ołtaszyn,117,0.19907641410827637,117,0.3268773555755615
Miękinia Cegielnia,Kwiatkowskiego,471,0.17832636833190918,471,0.4124476909637451
Jerzmanowo (Cmentarz II),Tokary - osiedle,377,0.16627740859985352,377,0.4518768787384033
skwer Krasińskiego,Skałka - skrzy. Małkowice,373,0.2427070140838623,373,0.513355016708374
Płaska,KOZANÓW (Dokerska),145,0.16441130638122559,145,0.2355515956878662
Ratyń - skrzyżowanie,Hartmana,327,0.15078473091125488,327,0.3339989185333252
Zaprężyn,RACŁAWICKA,402,0.1717827320098877,402,0.2569704055786133
Na Grobli (Hydropolis),Kiełczów - pętla (Plac Jana Gdaka),450,0.1798255443572998,450,0.4530599117279053
